    s.id   p.id     y    x1    x2    x3    x4    x5    x6    x7
77    77 938896  9.30  9.07  9.78  9.55  9.88  9.33  9.26  9.54
78    78 672091  8.23  8.52  9.10  9.43  8.90  9.74 10.03 10.77
79    79 760473  9.81 10.11 10.34  8.96 11.39  9.93  9.87 10.06
80    80 772694 10.35 10.05 11.23  9.81 12.33 10.11  8.74  8.98
81    81 643786 10.71 10.69 10.71  7.90 10.19  8.69  9.72  9.75
82    82 323282  7.91  8.64  9.05  8.61 10.85  8.98  9.54  9.49
83    83 657369  7.77  8.83  8.88  8.47 11.56  9.21  9.61 10.37
84    84 234114  8.98  8.85  9.61  9.90  8.81  9.66  8.28  9.15
85    85 979113 10.86 11.10 10.10  9.88 10.72 10.68  8.68  8.56
86    86 770556  8.84  9.87  9.24  9.13  9.94 12.39 10.38 10.87
87    87 678377 10.77 11.58  9.18  9.48 10.81  8.79  9.58  9.49
88    88 747496  9.75 10.11 10.05 10.52 10.76 12.10 10.33 10.89
89    89 679210 11.15 11.68 10.39  9.71 10.82 10.62 10.86 11.31
90    90 671885 10.73 10.48  9.92 11.81 10.23  9.38 11.69 11.14
91    91 460454 10.96 11.47  8.87 10.24  9.67  9.47  9.43  9.89
92    92 675481 11.13  9.60 12.69 10.14 10.96  9.39  8.67  9.59
93    93 913708  8.82  9.20  9.81  8.78 10.33 10.88  8.75  9.20
94    94 448100 10.98 12.20  8.62  8.65  9.86  8.89 10.14 10.30
95    95 608282 11.01 10.51 10.31 10.85  9.79  8.65 10.62 10.31
96    96 216595  8.36  8.67  9.12  9.63  9.63 10.26  9.69  9.87
97    97  40556  9.93 10.08  9.56 11.72 10.65 10.15 11.37 11.24
98    98 810820  9.16  9.32  9.05 11.29 10.92  9.51  9.64  9.07
99    99 341012  9.72  9.96  9.07 10.32  9.29  9.14  9.98 10.14
100  100 238466  9.43  8.79 10.67 10.83 10.58  9.23 11.25 10.85
